epoch,accuracy,learning_rate,loss,top3,val_accuracy,val_loss,val_top3
0,0.4625527560710907,0.0010000000474974513,1.4155709743499756,0.8322784900665283,0.6499999761581421,1.2435611486434937,0.949999988079071
1,0.7573839426040649,0.0010000000474974513,0.731360673904419,0.9583333134651184,0.7599999904632568,0.8209928274154663,1.0
2,0.8459915518760681,0.0010000000474974513,0.5138155817985535,0.9799578189849854,0.800000011920929,0.5851497054100037,1.0
3,0.9018987417221069,0.0010000000474974513,0.3687479794025421,0.9926160573959351,0.5299999713897705,1.5104784965515137,0.9399999976158142
4,0.9140295386314392,0.0010000000474974513,0.3401476740837097,0.9899789094924927,0.8899999856948853,0.36758697032928467,0.9900000095367432
5,0.9430379867553711,0.0010000000474974513,0.22918105125427246,0.996835470199585,0.9200000166893005,0.24409376084804535,1.0
6,0.9625527262687683,0.0010000000474974513,0.17047055065631866,0.9994725584983826,0.8999999761581421,0.3430998623371124,0.9800000190734863
7,0.9583333134651184,0.0010000000474974513,0.17389102280139923,0.9989451766014099,0.8299999833106995,0.577454149723053,1.0
8,0.9672995805740356,0.0010000000474974513,0.13625094294548035,1.0,0.9399999976158142,0.26465263962745667,1.0
9,0.9804852604866028,0.0010000000474974513,0.10772975534200668,1.0,0.8700000047683716,0.5724153518676758,1.0
10,0.9905063509941101,0.0010000000474974513,0.08767957985401154,1.0,0.9300000071525574,0.1398521512746811,1.0
11,0.9883966445922852,0.0010000000474974513,0.08080796897411346,1.0,0.9300000071525574,0.41204193234443665,1.0
12,0.9667721390724182,0.0010000000474974513,0.1319359391927719,0.9989451766014099,0.9300000071525574,0.22623084485530853,1.0
13,0.9820675253868103,0.0010000000474974513,0.10171817243099213,1.0,0.8999999761581421,0.5311844348907471,0.9800000190734863
14,0.9810126423835754,0.0010000000474974513,0.09155043959617615,1.0,0.9599999785423279,0.2493017017841339,1.0
15,0.9931434392929077,0.0010000000474974513,0.0693901777267456,1.0,0.9399999976158142,0.3153788149356842,1.0
16,0.996835470199585,0.0010000000474974513,0.05771602690219879,1.0,0.9100000262260437,0.35437434911727905,1.0
17,0.9994725584983826,0.0005000000237487257,0.04994352534413338,1.0,0.9700000286102295,0.24225890636444092,1.0
18,0.997890293598175,0.0005000000237487257,0.05128556117415428,1.0,0.9700000286102295,0.1877167820930481,1.0
19,0.996835470199585,0.0005000000237487257,0.05175655335187912,1.0,0.9700000286102295,0.2152138650417328,1.0
20,0.9984177350997925,0.0005000000237487257,0.04947734251618385,1.0,0.9700000286102295,0.17148056626319885,1.0
21,0.9989451766014099,0.0005000000237487257,0.04663310572504997,1.0,0.9200000166893005,0.4951460659503937,1.0
22,0.9994725584983826,0.0005000000237487257,0.04614743962883949,1.0,0.9599999785423279,0.171888530254364,1.0
23,1.0,0.0002500000118743628,0.04368981346487999,1.0,0.9800000190734863,0.12733431160449982,1.0
24,0.9994725584983826,0.0002500000118743628,0.04460787773132324,1.0,0.9700000286102295,0.1602783054113388,1.0
25,0.9994725584983826,0.0002500000118743628,0.04362965747714043,1.0,0.9700000286102295,0.14944146573543549,1.0
26,1.0,0.0002500000118743628,0.043640922755002975,1.0,0.9700000286102295,0.22162213921546936,1.0
27,0.9994725584983826,0.0002500000118743628,0.042842745780944824,1.0,0.9700000286102295,0.18346193432807922,1.0
28,1.0,0.0002500000118743628,0.041938602924346924,1.0,0.9800000190734863,0.1355915516614914,1.0
29,1.0,0.0002500000118743628,0.04214365780353546,1.0,0.9700000286102295,0.18157348036766052,1.0
30,1.0,0.0001250000059371814,0.04181068018078804,1.0,0.9700000286102295,0.17505191266536713,1.0
31,1.0,0.0001250000059371814,0.04167048633098602,1.0,0.9700000286102295,0.17931760847568512,1.0
32,1.0,0.0001250000059371814,0.04134083911776543,1.0,0.9700000286102295,0.17506469786167145,1.0
33,0.9989451766014099,0.0001250000059371814,0.04266016557812691,1.0,0.9599999785423279,0.21710319817066193,1.0
34,1.0,0.0001250000059371814,0.041532695293426514,1.0,0.9700000286102295,0.1830279380083084,1.0
35,0.9989451766014099,0.0001250000059371814,0.04260651394724846,1.0,0.9700000286102295,0.15392209589481354,1.0
36,1.0,6.25000029685907e-05,0.04122418910264969,1.0,0.9700000286102295,0.16713941097259521,1.0
37,1.0,6.25000029685907e-05,0.04091284051537514,1.0,0.9700000286102295,0.1742330938577652,1.0
38,1.0,6.25000029685907e-05,0.04138750955462456,1.0,0.9700000286102295,0.18735499680042267,1.0
