epoch,accuracy,learning_rate,loss,top3,val_accuracy,val_loss,val_top3
0,0.6091772317886353,0.0010000000474974513,1.1565791368484497,0.8839662671089172,0.7200000286102295,1.1726535558700562,0.9100000262260437
1,0.8043248653411865,0.0010000000474974513,0.6385623812675476,0.9731012582778931,0.7599999904632568,0.9086015224456787,0.9599999785423279
2,0.8950421810150146,0.0010000000474974513,0.38753920793533325,0.9920886158943176,0.699999988079071,0.8305953741073608,0.9100000262260437
3,0.9061181545257568,0.0010000000474974513,0.32375848293304443,0.9952531456947327,0.6600000262260437,0.6755134463310242,0.9700000286102295
4,0.9414557218551636,0.0010000000474974513,0.2409515380859375,0.9973628520965576,0.8100000023841858,0.5929684638977051,1.0
5,0.9546413421630859,0.0010000000474974513,0.2119990587234497,0.9973628520965576,0.800000011920929,0.6830193400382996,0.9200000166893005
6,0.9688818454742432,0.0010000000474974513,0.1470237821340561,1.0,0.7099999785423279,1.176429271697998,1.0
7,0.9725738167762756,0.0010000000474974513,0.1303664892911911,1.0,0.800000011920929,0.7979020476341248,0.9800000190734863
8,0.975210964679718,0.0010000000474974513,0.14630506932735443,0.9973628520965576,0.7900000214576721,0.701406717300415,0.9900000095367432
9,0.9678270220756531,0.0010000000474974513,0.15702514350414276,0.9994725584983826,0.6800000071525574,1.2708845138549805,0.8899999856948853
10,0.9799578189849854,0.0010000000474974513,0.11314748972654343,1.0,0.9200000166893005,0.26216161251068115,1.0
11,0.9778481125831604,0.0010000000474974513,0.1250181347131729,0.9989451766014099,0.8100000023841858,0.7921132445335388,0.9900000095367432
12,0.9841772317886353,0.0010000000474974513,0.10138921439647675,1.0,0.8999999761581421,0.6286567449569702,1.0
13,0.9899789094924927,0.0010000000474974513,0.08342956006526947,0.9994725584983826,0.8299999833106995,0.5725561380386353,0.9900000095367432
14,0.9926160573959351,0.0010000000474974513,0.07267497479915619,1.0,0.9599999785423279,0.130554661154747,1.0
15,0.997890293598175,0.0010000000474974513,0.06228554621338844,0.9994725584983826,0.9700000286102295,0.19811157882213593,1.0
16,0.9989451766014099,0.0010000000474974513,0.05816567316651344,1.0,0.9700000286102295,0.10538631677627563,1.0
17,0.997890293598175,0.0010000000474974513,0.0615127794444561,0.9994725584983826,0.9100000262260437,0.4319455027580261,0.9599999785423279
18,0.997890293598175,0.0010000000474974513,0.05714551731944084,1.0,0.8899999856948853,0.822660505771637,1.0
19,0.9931434392929077,0.0010000000474974513,0.0772966668009758,0.9994725584983826,0.9200000166893005,0.5176652669906616,0.9599999785423279
20,0.9868143200874329,0.0010000000474974513,0.09948357939720154,0.9994725584983826,0.9100000262260437,0.40970271825790405,1.0
21,0.99472576379776,0.0010000000474974513,0.0650467574596405,1.0,0.5799999833106995,2.8221912384033203,0.8899999856948853
22,0.9599156379699707,0.0010000000474974513,0.17972595989704132,0.9989451766014099,0.47999998927116394,2.1930453777313232,0.7900000214576721
23,0.9815400838851929,0.0005000000237487257,0.1165168359875679,0.9994725584983826,0.8500000238418579,0.8265462517738342,0.9800000190734863
24,0.9973628520965576,0.0005000000237487257,0.06335604190826416,1.0,0.8500000238418579,1.0026437044143677,0.9800000190734863
25,0.9931434392929077,0.0005000000237487257,0.06371251493692398,1.0,0.9200000166893005,0.6978455185890198,0.9800000190734863
26,0.9984177350997925,0.0005000000237487257,0.057095717638731,1.0,0.9700000286102295,0.2217157483100891,1.0
27,0.9989451766014099,0.0005000000237487257,0.053575363010168076,1.0,0.949999988079071,0.36969828605651855,1.0
28,0.9984177350997925,0.0005000000237487257,0.05261794105172157,1.0,0.9700000286102295,0.282508909702301,1.0
29,0.9994725584983826,0.0002500000118743628,0.051177509129047394,1.0,0.9700000286102295,0.2723947763442993,1.0
30,1.0,0.0002500000118743628,0.05058833584189415,1.0,0.9700000286102295,0.2864166498184204,1.0
31,1.0,0.0002500000118743628,0.05122900381684303,1.0,0.9700000286102295,0.28556641936302185,1.0
