epoch,accuracy,learning_rate,loss,top3,val_accuracy,val_loss,val_top3
0,0.5485231876373291,0.0010000000474974513,1.324933648109436,0.8797468543052673,0.5799999833106995,1.368437647819519,0.949999988079071
1,0.7816455960273743,0.0010000000474974513,0.7201233506202698,0.972046434879303,0.4000000059604645,1.2809762954711914,0.9700000286102295
2,0.8808016777038574,0.0010000000474974513,0.43711909651756287,0.9941983222961426,0.4699999988079071,1.3918553590774536,0.9800000190734863
3,0.9166666865348816,0.0010000000474974513,0.37452617287635803,0.9963080286979675,0.5799999833106995,1.2455036640167236,0.8799999952316284
4,0.9446202516555786,0.0010000000474974513,0.288194477558136,0.9989451766014099,0.8100000023841858,0.660552442073822,1.0
5,0.9388185739517212,0.0010000000474974513,0.2805249094963074,0.997890293598175,0.8399999737739563,0.4371204674243927,1.0
6,0.9599156379699707,0.0010000000474974513,0.24070677161216736,0.9989451766014099,0.8899999856948853,0.3717121183872223,1.0
7,0.9694092869758606,0.0010000000474974513,0.223006471991539,0.9973628520965576,0.8199999928474426,0.6156320571899414,1.0
8,0.9715189933776855,0.0010000000474974513,0.19333475828170776,1.0,0.7599999904632568,0.7420892119407654,1.0
9,0.969936728477478,0.0010000000474974513,0.20636270940303802,1.0,0.8999999761581421,0.36202049255371094,1.0
10,0.9746835231781006,0.0010000000474974513,0.19678951799869537,1.0,0.8799999952316284,0.707558274269104,0.9700000286102295
11,0.9862869381904602,0.0010000000474974513,0.1566844880580902,1.0,0.8600000143051147,0.5557586550712585,1.0
12,0.9862869381904602,0.0010000000474974513,0.15270450711250305,1.0,0.8399999737739563,0.7161802053451538,0.9599999785423279
13,0.9736286997795105,0.0010000000474974513,0.18623805046081543,0.9994725584983826,0.9300000071525574,0.3272724449634552,1.0
14,0.982594907283783,0.0010000000474974513,0.1661430448293686,1.0,0.8100000023841858,0.705036997795105,0.9900000095367432
15,0.9878692030906677,0.0010000000474974513,0.13958150148391724,1.0,0.9200000166893005,0.3373818099498749,1.0
16,0.9941983222961426,0.0010000000474974513,0.12365850806236267,1.0,0.8999999761581421,0.7045040726661682,0.9800000190734863
17,0.99472576379776,0.0010000000474974513,0.1234886422753334,1.0,0.9700000286102295,0.21894440054893494,1.0
18,0.997890293598175,0.0010000000474974513,0.11274118721485138,1.0,0.9399999976158142,0.2661884129047394,1.0
19,0.9984177350997925,0.0010000000474974513,0.11058525741100311,1.0,0.9300000071525574,0.3516203761100769,1.0
20,0.996835470199585,0.0010000000474974513,0.11444520950317383,1.0,0.800000011920929,1.070521354675293,0.9700000286102295
21,0.9662446975708008,0.0010000000474974513,0.19121231138706207,0.9984177350997925,0.49000000953674316,1.384921669960022,0.8999999761581421
22,0.969936728477478,0.0010000000474974513,0.19781377911567688,0.9984177350997925,0.8100000023841858,0.8019504547119141,0.9900000095367432
23,0.9804852604866028,0.0010000000474974513,0.15719479322433472,1.0,0.8500000238418579,1.025908350944519,0.9900000095367432
24,0.9905063509941101,0.0005000000237487257,0.13633869588375092,1.0,0.8999999761581421,0.6030259132385254,1.0
25,0.9878692030906677,0.0005000000237487257,0.13968759775161743,1.0,0.949999988079071,0.35932716727256775,1.0
26,0.9994725584983826,0.0005000000237487257,0.11005493998527527,1.0,0.949999988079071,0.3446468412876129,1.0
27,0.9989451766014099,0.0005000000237487257,0.10824789106845856,1.0,0.9399999976158142,0.357513964176178,1.0
28,0.9994725584983826,0.0005000000237487257,0.1059248223900795,1.0,0.9700000286102295,0.3033094108104706,1.0
29,0.9989451766014099,0.0005000000237487257,0.10526859760284424,1.0,0.9599999785423279,0.2813151478767395,1.0
30,0.9994725584983826,0.0002500000118743628,0.1043957844376564,1.0,0.9700000286102295,0.367441326379776,1.0
31,0.9994725584983826,0.0002500000118743628,0.10233613848686218,1.0,0.9700000286102295,0.35208502411842346,1.0
32,1.0,0.0002500000118743628,0.10244996100664139,1.0,0.9700000286102295,0.34090644121170044,1.0
